AFFGEOID,Target Area
0500000US06033,68163.000000
0500000US06039,156255.000000
0500000US06099,552878.000000
0500000US45079,416147.000000
0500000US45021,56216.000000
0500000US12077,32926.061900
0500000US33017,130889.000000
0500000US37033,32926.061900
0500000US54067,32926.061900
0500000US31071,32926.061900
0500000US24023,32926.061900
0500000US22101,49406.000000
0500000US12097,388656.000000
0500000US39061,830639.000000
0500000US18061,39654.000000
0500000US19063,32926.061900
0500000US48203,68839.000000
0500000US42127,51155.000000
0500000US30083,32926.061900
0500000US20195,32926.061900
0500000US51145,30333.000000
0500000US51031,55696.000000
0500000US53031,32977.000000
0500000US50027,57753.000000
0500000US37121,24183.563099
0500000US42031,37241.000000
0500000US05037,32926.061900
0500000US45005,32926.061900
0500000US53055,19146.715806
0500000US36113,65737.000000
0500000US37049,100720.000000
0500000US37055,36915.000000
0500000US36051,61834.000000
0500000US18021,32926.061900
0500000US29189,1004125.000000
0500000US29195,32926.061900
0500000US34011,154152.000000
0500000US34019,128947.000000
0500000US56035,32926.061900
0500000US51103,15485.013357
0500000US17027,36899.000000
0500000US48103,32926.061900
0500000US55057,32926.061900
0500000US13245,206607.000000
0500000US37047,50623.000000
0500000US37111,44578.000000
0500000US56027,32926.061900
0500000US36009,77042.000000
0500000US29031,81710.000000
0500000US27173,32926.061900
0500000US56025,79955.000000
0500000US25009,809829.000000
0500000US08005,655070.000000
0500000US13171,20296.580654
0500000US45017,32926.061900
0500000US13007,32926.061900
0500000US16073,32926.061900
0500000US47029,35999.000000
0500000US42103,58535.000000
0500000US42099,45842.000000
0500000US28083,32926.061900
0500000US42067,32926.061900
0500000US06081,764442.000000
0500000US49043,42357.000000
0500000US41033,88090.000000
0500000US47147,72803.000000
0500000US18149,32926.061900
0500000US20057,34287.000000
0500000US51059,1150309.000000
0500000US05015,32926.061900
0500000US27073,32926.061900
0500000US27027,65318.000000
0500000US22045,69929.000000
0500000US27107,32926.061900
0500000US51089,50948.000000
0500000US23007,32926.061900
0500000US27069,32926.061900
0500000US55131,136761.000000
