command,mean,stddev,median,user,system,min,max,parameter_qlcf
japan_by_prefecture_since_1888-8,0.8084180491799999,0.01782953484519479,0.80371606618,0.78513072,0.0197614,0.79364173218,0.85556085718,8
japan_by_prefecture_since_1888-9,0.7957146073800001,0.0031319756031847807,0.79589485768,0.77583752,0.0184794,0.79160589918,0.80019873318,9
japan_by_prefecture_since_1888-10,0.66470581998,0.013227100987279129,0.66161421168,0.64345622,0.0178115,0.64931448218,0.6921622321800001,10
japan_by_prefecture_since_1888-11,0.6813980449800001,0.014781495809470713,0.67826196118,0.65892062,0.0187752,0.66441452418,0.71802281618,11
japan_by_prefecture_since_1888-12,0.63596308668,0.010198542714604469,0.63446354518,0.6149463199999999,0.018369,0.62449919018,0.66251102418,12
japan_by_prefecture_since_1888-13,0.6449404698800001,0.003899135313510579,0.64465694068,0.6253473199999999,0.017734399999999997,0.63812048218,0.65148119118,13
japan_by_prefecture_since_1888-14,0.64577345758,0.010755055652590625,0.64321037868,0.62648632,0.0177883,0.63478044118,0.67004944118,14
japan_by_prefecture_since_1888-15,0.7749021865800001,0.012250569642093572,0.7699425451799999,0.7504248199999999,0.0209984,0.76286627418,0.80148256518,15
malaysia_by_state_since_2001-5,0.43210550018000005,0.015006938456402611,0.42666323368000003,0.41714309999999993,0.01127854,0.42399746218,0.47377671318000003,5
malaysia_by_state_since_2001-6,0.42700516658000015,0.003080608269836517,0.42648321268,0.41524959999999994,0.01034494,0.42343558718,0.43221346218,6
malaysia_by_state_since_2001-7,0.43404665428,0.012299654541718186,0.43061317068000005,0.41893060000000004,0.011727539999999998,0.42483933818,0.46790858818000003,7
malaysia_by_state_since_2001-8,0.42754805848000005,0.0037579423465221376,0.42693381668,0.41549369999999997,0.01064714,0.42368704618,0.43331104618000005,8
malaysia_by_state_since_2001-9,0.34810213347999996,0.0025166997130402578,0.34725402518000004,0.336817,0.01004024,0.34512008818,0.35159637918000003,9
malaysia_by_state_since_2001-10,0.39128546658,0.01012691754629414,0.38789375418000005,0.37566579999999994,0.01209084,0.38310892118,0.41606150418000004,10
malaysia_by_state_since_2001-11,0.38755110018,0.002976103411876778,0.38642704618,0.37449009999999994,0.011618239999999998,0.38442242018000006,0.39392408818,11
malaysia_by_state_since_2001-12,0.39582444148,0.012257795631725011,0.39064042068000004,0.38004279999999996,0.01217454,0.38782987918,0.42826408718000003,12
malaysia_by_state_since_2001-13,0.43823057918,0.006163615204738743,0.43678060868,0.4247997,0.01208604,0.43297142018,0.45393792018,13
malaysia_by_state_since_2001-14,0.44399804168,0.01389345967611403,0.43921646268000003,0.4270883,0.013574139999999998,0.43526429618,0.48047600418,14
malaysia_by_state_since_2001-15,0.44299353348000003,0.0080811292785364,0.44095250418000004,0.4275709,0.01327004,0.43178446318,0.45662458718000004,15
metropolitan_france_by_departement_since_2015-5,1.25008568078,0.01780364207606513,1.2461336261799998,1.2226985799999999,0.0236884,1.23165885618,1.2881641471799998,5
metropolitan_france_by_departement_since_2015-6,1.1438764764799998,0.01939309431259898,1.1434693141799999,1.11506508,0.0228622,1.11229698018,1.1784432301799999,6
metropolitan_france_by_departement_since_2015-7,1.03298226428,0.008262733587717862,1.03094435618,1.0091544799999999,0.0220612,1.02233652318,1.05420818918,7
metropolitan_france_by_departement_since_2015-8,1.03622209358,0.01476906621065925,1.03434246018,1.0095346799999998,0.0228485,1.01934910618,1.0724067311799999,8
metropolitan_france_by_departement_since_2015-9,0.9860914724800001,0.024098198411148294,0.97796529318,0.95684018,0.023383900000000003,0.9661377311800001,1.03635743918,9
metropolitan_france_by_departement_since_2015-10,1.0001950392799999,0.01395565704488597,0.99455854318,0.9757149799999999,0.0226281,0.9846727311800001,1.0246876891799999,10
metropolitan_france_by_departement_since_2015-11,1.00284172668,0.017536402552208733,0.99817243918,0.9745951799999999,0.024544999999999997,0.98449781418,1.04697218918,11
metropolitan_france_by_departement_since_2015-12,1.01917561428,0.021356937325750825,1.0113993556799998,0.9879077799999999,0.0252388,1.0005193561799999,1.0619939811799999,12
metropolitan_france_by_departement_since_2015-13,1.02419747678,0.020200426854346438,1.02362948118,0.9982930799999996,0.0240263,0.99924727218,1.06818081418,13
metropolitan_france_by_departement_since_2015-14,1.04376661408,0.021982531879504417,1.03746073118,1.0119959799999998,0.0259214,1.0203733551799998,1.0915633971799998,14
metropolitan_france_by_departement_since_2015-15,1.0891587517799999,0.011959786262060554,1.08568200118,1.0598572799999997,0.025817299999999998,1.07185564818,1.11354423118,15
russia_by_federal_subject_since_2008-5,2.57705022576,0.05294788540927619,2.59024791306,2.5348577600000004,0.036463819999999994,2.46966243356,2.64204385156,5
russia_by_federal_subject_since_2008-6,2.5993747052600003,0.24939127967105054,2.50456347656,2.5467439599999997,0.04349592,2.28117685056,3.08975397656,6
russia_by_federal_subject_since_2008-7,2.05512743836,0.03711438496193168,2.05089553856,2.01711846,0.03248092,1.98531280856,2.12291647556,7
russia_by_federal_subject_since_2008-8,1.8808152968600003,0.10144325369778472,1.8648102880600002,1.8440422599999997,0.031052020000000003,1.75279410056,2.01831243456,8
russia_by_federal_subject_since_2008-9,1.8429806925599999,0.11611167274875504,1.77827060106,1.8029657599999998,0.033826419999999996,1.75785818456,2.07154243456,9
russia_by_federal_subject_since_2008-10,1.5075875550600002,0.04360149862461488,1.4885746425600002,1.47611196,0.028058519999999997,1.45822597556,1.59500935156,10
russia_by_federal_subject_since_2008-11,1.4070595799599999,0.0356406837744448,1.42667560106,1.37608296,0.027425920000000003,1.35981201756,1.44548626756,11
russia_by_federal_subject_since_2008-12,1.61483905066,0.8619526993944965,1.33873955956,1.5713765600000003,0.03709142,1.32606043356,4.06750372556,12
russia_by_federal_subject_since_2008-13,3.6327879675599997,2.3189975838230206,3.29894785106,3.52302046,0.10056281999999998,1.4563048515600001,6.51243218356,13
russia_by_federal_subject_since_2008-14,7.41296127606,2.2913535047024194,8.22902695506,7.19516606,0.19570362,1.83179939256,9.59335589256,14
russia_by_federal_subject_since_2008-15,3.20030268826,1.810808291843925,2.13195220506,3.11568146,0.07582612,2.03010964256,6.38362789256,15
singapore_by_planning_area_since_1999-5,7.04842747858,0.05181786822425353,7.06215182438,6.9495616600000005,0.08213945999999998,6.96251063738,7.10206926238,5
